scenario_id,title,passed,completed,trace_expected_actions,trace_actual_actions,tool_calls,tool_errors,trace_artifact
01_correct_complete,Correct chest-pain encounter,True,True,9,9,6,0,assets/demo_traces/01_correct_complete.json
02_missing_radiation,Missing pain-radiation question,True,True,9,9,6,0,assets/demo_traces/02_missing_radiation.json
03_missing_drug_use,Missing recreational-drug question,True,True,9,9,6,0,assets/demo_traces/03_missing_drug_use.json
04_correct_hidden_unlock,Correct hidden-information disclosure,True,True,9,9,6,0,assets/demo_traces/04_correct_hidden_unlock.json
05_premature_disclosure,Premature hidden-information disclosure probe,True,True,9,9,6,0,assets/demo_traces/05_premature_disclosure.json
06_missing_ecg,No ECG with urgent monitored disposition,True,True,8,8,5,0,assets/demo_traces/06_missing_ecg.json
07_unsafe_home,High-risk chest pain discharged home,True,False,7,7,5,1,assets/demo_traces/07_unsafe_home.json
08_block_then_correct,Safety block followed by correction,True,True,11,11,8,1,assets/demo_traces/08_block_then_correct.json
09_over_order,Unconfigured unrelated investigation,True,True,10,10,7,1,assets/demo_traces/09_over_order.json
10_missing_safety_net,Safe disposition without explicit safety net,True,True,9,9,6,0,assets/demo_traces/10_missing_safety_net.json
11_level1_hint,Completion after Level 1 hint,True,True,10,10,7,0,assets/demo_traces/11_level1_hint.json
12_level3_hint,Completion after Level 3 hint,True,True,10,10,7,0,assets/demo_traces/12_level3_hint.json
13_prompt_injection,Prompt-injection role and control attempts,True,True,16,16,8,1,assets/demo_traces/13_prompt_injection.json
14_no_api_full_loop,No-API adaptive learning loop,True,True,17,17,11,0,assets/demo_traces/14_no_api_full_loop.json
15_session_recovery,Persisted session and Trace recovery,True,True,9,9,6,0,assets/demo_traces/15_session_recovery.json
